label,run,filename,total_packets,duration_sec,packets_per_sec,bytes_total,bytes_per_sec,pkt_size_mean,pkt_size_std,pkt_size_min,pkt_size_max,pkt_size_median,iat_mean,iat_std,iat_min,iat_max,iat_median,ratio_ip,ratio_tcp,ratio_udp,ratio_icmp,ratio_arp,count_ip,count_tcp,count_udp,count_icmp,count_arp,count_dns,flag_syn,flag_ack,flag_fin,flag_rst,flag_psh,flag_urg,syn_only_count,ratio_syn_only,ratio_syn_ack,tcp_win_mean,tcp_win_std,tcp_win_min,tcp_win_max,unique_src_ports,unique_dst_ports,port_entropy_dst,top_dst_port_count,http_pkts,https_pkts,rtsp_pkts,telnet_pkts,ssh_pkts,unique_src_ips,unique_dst_ips,ip_pair_count,src_ip_entropy,dst_ip_entropy,ttl_mean,ttl_std,ttl_min,ttl_max,payload_mean,payload_std,payload_max,n_has_payload,ratio_has_payload,max_payload_repeat,n_http_get,n_http_post,n_flows,pkts_per_flow_mean,pkts_per_flow_std,pkts_per_flow_max,bytes_per_flow_mean,bytes_per_flow_std,bytes_per_flow_max,top_flow_pkts,arp_who_has,arp_is_at,n_http_conn_ips,ratio_rtsp
dos_http_flood,run_2,dos_http_flood.pcap,4405,10.129558,434.866,1097137,108310.4505,249.0663,482.7248,54.0,2241.0,66.0,0.0023,0.007903,-0.000105,0.055179,0.000101,1.0,1.0,0.0,0.0,0.0,4405,4405,0,0,0,0,419,3641,520,580,1551,0,235,0.0533,0.1151,5999.301,17726.8914,0.0,65160.0,421,421,5.7347,1871,0,1871,0,0,0,2,2,2,0.9883,0.9883,63.2361,1.9811,37.0,64.0,508.5575,692.2761,2175.0,1591,0.3612,2,0,0,421,10.4632,90.9075,1871.0,2606.0261,10190.9649,207022.0,1871,0,0,0,0.0
dos_syn_flood,run_2,dos_syn_flood.pcap,10029,9.970863,1005.8307,700260,70230.6336,69.8235,135.7583,54.0,2241.0,54.0,0.000994,0.000957,-0.000147,0.003467,0.000724,1.0,1.0,0.0,0.0,0.0,10029,10029,0,0,0,0,6315,3448,133,3448,133,0,3182,0.3173,1.8315,20260.0834,29644.9692,0.0,64240.0,3313,3312,4.9874,6532,0,6532,0,0,0,2,2,2,0.9284,0.9284,63.584,1.2072,37.0,64.0,1073.4887,479.3998,2175.0,133,0.0133,1,0,0,3318,3.0226,113.3649,6532.0,211.0488,6125.7493,352728.0,6532,0,0,0,0.0
dos_udp_flood,run_2,dos_udp_flood.pcap,47781,9.944038,4804.9896,2008482,201978.509,42.0352,0.7625,42.0,70.0,42.0,0.000208,0.002035,-4e-06,0.030881,2.4e-05,1.0,0.0021,0.9977,0.0002,0.0,47781,100,47671,10,0,0,50,50,0,50,0,0,50,0.5,1.0,512.0,512.0,0.0,1024.0,47686,53,0.0307,47671,0,0,0,0,0,2,2,2,0.0139,0.0139,63.982,0.5663,37.0,64.0,0.0,0.0,0.0,0,0.0,0,0,0,54,884.8333,6426.5759,47671.0,37194.1111,269911.9665,2002182.0,47671,0,0,0,0.0
mixed_attack,run_2,mixed_attack.pcap,49887,10.219719,4881.4452,2761898,270251.8425,55.3631,1.8959,54.0,58.0,54.0,0.000205,0.001343,-0.000145,0.042706,9e-06,1.0,1.0,0.0,0.0,0.0,49887,49887,0,0,0,0,32889,16998,0,16998,0,0,16941,0.3396,1.9349,20721.0683,29832.8919,0.0,64240.0,16576,16464,5.8339,31837,5,31839,3,1,1,2,2,2,0.9255,0.9255,63.3158,2.5268,37.0,64.0,0.0,0.0,0.0,0,0.0,0,0,0,16975,2.9389,244.4634,31837.0,162.7039,13201.0265,1719202.0,31837,0,0,2,0.0001
normal,run_2,normal.pcap,100,9.843915,10.1586,5600,568.8794,56.0,2.0,54.0,58.0,56.0,0.099433,0.096447,0.003096,0.216432,0.019778,1.0,1.0,0.0,0.0,0.0,100,100,0,0,0,0,50,50,0,50,0,0,50,0.5,1.0,512.0,512.0,0.0,1024.0,52,52,4.3219,25,0,0,0,0,0,2,2,2,1.0,1.0,55.59,9.0985,37.0,63.0,0.0,0.0,0.0,0,0.0,0,0,0,52,1.9231,4.6154,25.0,107.6923,248.4615,1350.0,25,0,0,0,0.0
port_scan,run_2,port_scan.pcap,49674,9.977478,4978.6131,2781692,278797.1194,55.999,2.0,54.0,58.0,54.0,0.000201,0.002201,-5.7e-05,0.301394,3.7e-05,1.0,1.0,0.0,0.0,0.0,49674,49674,0,0,0,0,24824,24850,0,24850,0,0,24824,0.4997,0.999,511.732,511.9999,0.0,1024.0,24834,24804,8.3067,24799,0,1,0,0,0,2,2,2,1.0,1.0,55.4765,8.8598,37.0,63.0,0.0,0.0,0.0,0,0.0,0,0,0,24807,2.0024,157.4358,24798.0,112.1333,8501.5098,1339092.0,24798,0,0,0,0.0
replay_attack,run_2,replay_attack.pcap,170,10.178895,16.7012,9376,921.1216,55.1529,1.8118,54.0,58.0,54.0,0.06023,0.08614,2e-06,0.353777,0.04153,1.0,1.0,0.0,0.0,0.0,170,170,0,0,0,0,49,121,0,121,0,0,49,0.2882,0.405,295.1529,463.8118,0.0,1024.0,115,44,3.5392,54,1,0,0,0,0,2,2,2,0.8664,0.8664,58.4235,7.9777,37.0,63.0,0.0,0.0,0.0,0,0.0,0,0,0,44,3.8636,10.6677,54.0,213.0909,575.2459,2916.0,54,0,0,1,0.0
rtsp_brute_force,run_2,rtsp_brute_force.pcap,114,10.10029,11.2868,6472,640.7737,56.7719,3.6371,54.0,74.0,58.0,0.089383,0.135868,4.1e-05,0.362396,0.019191,1.0,1.0,0.0,0.0,0.0,114,114,0,0,0,0,56,59,2,53,0,0,54,0.4737,0.9492,2205.7544,10261.1249,0.0,65160.0,57,57,4.5111,26,0,0,6,0,0,2,2,2,0.9998,0.9998,56.6228,8.5618,37.0,64.0,0.0,0.0,0.0,0,0.0,0,0,0,57,2.0,4.6302,26.0,113.5439,250.4648,1404.0,26,0,0,0,0.0526
slowloris,run_2,slowloris.pcap,102,10.020666,10.179,5712,570.022,56.0,2.0,54.0,58.0,56.0,0.099215,0.100231,0.002303,0.240986,0.020123,1.0,1.0,0.0,0.0,0.0,102,102,0,0,0,0,51,51,0,51,0,0,51,0.5,1.0,512.0,512.0,0.0,1024.0,53,53,4.3361,26,0,0,0,0,0,2,2,2,1.0,1.0,55.3137,8.9146,38.0,63.0,0.0,0.0,0.0,0,0.0,0,0,0,53,1.9245,4.6696,26.0,107.7736,251.399,1404.0,26,0,0,0,0.0
brute_force_ssl,run_3,brute_force_ssl.pcap,46171,9.960323,4635.4921,2726097,273695.633,59.0435,48.8467,54.0,1386.0,58.0,0.000216,0.001302,-0.000137,0.093319,4.1e-05,1.0,1.0,0.0,0.0,0.0,46171,46171,0,0,0,0,22739,23481,87,22663,343,0,22690,0.4914,0.9684,652.6116,2997.5382,0.0,65160.0,22369,22357,8.3339,22304,0,400,0,0,0,2,2,2,1.0,1.0,55.6544,8.8323,37.0,64.0,381.863,410.0251,1320.0,343,0.0074,1,0,0,22375,2.0635,149.1355,22304.0,121.8367,8064.3986,1204416.0,22304,0,0,0,0.0
dos_http_flood,run_3,dos_http_flood.pcap,4057,10.198483,397.8043,1078872,105787.4956,265.9285,475.8684,54.0,2241.0,74.0,0.002514,0.008518,-0.000109,0.058197,0.000104,1.0,1.0,0.0,0.0,0.0,4057,4057,0,0,0,0,428,3405,408,463,1562,0,239,0.0589,0.1257,6627.0202,18618.201,0.0,65160.0,276,276,5.3943,1772,0,1772,0,0,0,2,2,2,0.9925,0.9925,63.244,1.9676,37.0,64.0,492.5291,641.5901,2175.0,1652,0.4072,2,0,0,276,14.6993,106.0676,1772.0,3908.9565,12008.7014,200522.0,1772,0,0,0,0.0
dos_syn_flood,run_3,dos_syn_flood.pcap,28885,10.223171,2825.4442,1598370,156347.7676,55.3356,1.8864,54.0,58.0,54.0,0.000354,0.000391,-0.000218,0.001431,0.000134,1.0,1.0,0.0,0.0,0.0,28885,28885,0,0,0,0,19240,9645,0,9645,0,0,9645,0.3339,1.9948,21511.0486,30136.2557,0.0,64240.0,9634,9632,5.3563,19190,2,19191,1,0,0,2,2,2,0.9189,0.9189,63.6372,0.8717,37.0,64.0,0.0,0.0,0.0,0,0.0,0,0,0,9648,2.9939,195.3493,19190.0,165.6685,10548.8188,1036260.0,19190,0,0,1,0.0
dos_udp_flood,run_3,dos_udp_flood.pcap,37758,9.928228,3803.0957,1587516,159899.2342,42.0445,0.8575,42.0,70.0,42.0,0.000263,0.003294,-1e-06,0.140016,2.2e-05,1.0,0.0026,0.9971,0.0003,0.0,37758,100,37648,10,0,0,50,50,0,50,0,0,50,0.5,1.0,512.0,512.0,0.0,1024.0,37669,53,0.0379,37648,0,0,0,0,0,2,2,2,0.0171,0.0171,63.9775,0.6258,37.0,64.0,0.0,0.0,0.0,0,0.0,0,0,0,54,699.2222,5075.3071,37648.0,29398.4444,213158.689,1581216.0,37648,0,0,0,0.0
mixed_attack,run_3,mixed_attack.pcap,40356,9.966279,4049.2546,2234428,224198.8255,55.3679,1.8975,54.0,58.0,54.0,0.000247,0.002538,-0.000157,0.141157,1e-05,1.0,1.0,0.0,0.0,0.0,40356,40356,0,0,0,0,26557,13799,0,13799,0,0,13863,0.3435,1.9246,20396.6498,29701.3175,0.0,64240.0,13462,13290,5.7831,25450,6,25452,3,1,1,2,2,2,0.9267,0.9267,63.2174,2.8244,37.0,64.0,0.0,0.0,0.0,0,0.0,0,0,0,13709,2.9438,217.5137,25450.0,162.9899,11745.7424,1374304.0,25450,0,0,2,0.0001
normal,run_3,normal.pcap,100,9.652511,10.36,5600,580.1599,56.0,2.0,54.0,58.0,56.0,0.0975,0.152697,0.0,0.372469,0.018219,1.0,1.0,0.0,0.0,0.0,100,100,0,0,0,0,50,50,0,50,0,0,50,0.5,1.0,512.0,512.0,0.0,1024.0,52,52,4.3219,25,0,0,0,0,0,2,2,2,1.0,1.0,54.92,9.4092,37.0,63.0,0.0,0.0,0.0,0,0.0,0,0,0,52,1.9231,4.6154,25.0,107.6923,248.4615,1350.0,25,0,0,0,0.0
port_scan,run_3,port_scan.pcap,49289,9.973824,4941.8357,2760462,276770.6742,56.0056,2.0,54.0,58.0,58.0,0.000202,0.002653,-1e-05,0.397756,2.7e-05,1.0,1.0,0.0,0.0,0.0,49289,49289,0,0,0,0,24714,24575,0,24575,0,0,24713,0.5014,1.0057,514.7265,586.9652,0.0,64240.0,24559,24694,8.3276,24526,1,0,1,0,0,2,2,2,1.0,1.0,55.5148,8.8184,37.0,64.0,0.0,0.0,0.0,0,0.0,0,0,0,24696,1.9958,156.0521,24525.0,111.7777,8426.812,1324354.0,24525,0,0,0,0.0
replay_attack,run_3,replay_attack.pcap,148,10.001772,14.7974,8148,814.6557,55.0541,1.7622,54.0,58.0,54.0,0.068039,0.129051,-5.6e-05,0.401066,0.001384,1.0,1.0,0.0,0.0,0.0,148,148,0,0,0,0,39,109,0,109,0,0,39,0.2635,0.3578,269.8378,451.1114,0.0,1024.0,106,36,3.3445,51,1,0,0,0,0,2,2,2,0.832,0.832,58.8041,7.7935,38.0,63.0,0.0,0.0,0.0,0,0.0,0,0,0,36,4.1111,10.4928,51.0,226.3333,565.8735,2754.0,51,0,0,1,0.0
rtsp_brute_force,run_3,rtsp_brute_force.pcap,88,10.039665,8.7652,5016,499.6182,57.0,3.9658,54.0,74.0,58.0,0.115398,0.165585,-1e-06,0.398924,0.00581,1.0,1.0,0.0,0.0,0.0,88,88,0,0,0,0,43,46,2,40,0,0,41,0.4659,0.9348,2706.1818,11628.5775,0.0,65160.0,44,44,4.2937,26,0,0,6,0,0,2,2,2,0.9996,0.9996,56.1818,8.6176,37.0,64.0,0.0,0.0,0.0,0,0.0,0,0,0,44,2.0,4.1396,26.0,114.0,224.4513,1404.0,26,0,0,0,0.0682
slowloris,run_3,slowloris.pcap,13979,10.111869,1382.4348,782626,77396.7693,55.9858,1.9999,54.0,58.0,54.0,0.000723,0.014362,-2.7e-05,0.398067,3.9e-05,1.0,1.0,0.0,0.0,0.0,13979,13979,0,0,0,0,6940,7039,0,7039,0,0,6940,0.4965,0.9859,508.374,511.9872,0.0,1024.0,6952,6854,7.4037,6905,0,0,0,0,0,2,2,2,1.0,1.0,55.5996,8.784,37.0,63.0,0.0,0.0,0.0,0,0.0,0,0,0,6854,2.0395,83.3933,6905.0,114.1853,4503.1872,372870.0,6905,0,0,0,0.0
brute_force_ssl,run_4,brute_force_ssl.pcap,55800,10.225559,5456.9143,3150867,308136.399,56.4672,19.165,54.0,1386.0,58.0,0.000183,0.000549,-0.000114,0.037494,3.7e-05,1.0,1.0,0.0,0.0,0.0,55800,55800,0,0,0,0,27872,27937,18,27784,63,0,27862,0.4993,0.9977,535.2172,1289.6102,0.0,65160.0,27776,27847,8.4128,27740,0,77,1,0,0,2,2,2,1.0,1.0,55.5168,8.8433,37.0,64.0,382.0159,409.9448,1320.0,63,0.0011,1,0,0,27849,2.0037,166.2188,27740.0,113.1411,8976.1762,1497964.0,27740,0,0,0,0.0
dos_http_flood,run_4,dos_http_flood.pcap,1652,10.1252,163.1573,445969,44045.4518,269.957,446.2345,54.0,1386.0,66.0,0.006133,0.013872,-0.000154,0.124483,0.000499,1.0,1.0,0.0,0.0,0.0,1652,1652,0,0,0,0,97,1611,0,41,554,0,39,0.0236,0.0602,3092.8354,11945.0592,0.0,65160.0,340,483,6.4927,597,0,597,0,0,0,2,2,2,0.9611,0.9611,63.0266,2.4414,39.0,64.0,608.4711,589.545,1320.0,554,0.3354,1,0,0,483,3.4203,27.08,597.0,923.3313,3479.0876,75631.0,597,0,0,0,0.0
dos_syn_flood,run_4,dos_syn_flood.pcap,52209,9.941875,5251.4237,3192440,321110.4397,61.1473,83.7747,54.0,2241.0,54.0,0.00019,0.001198,-0.000163,0.030452,9e-06,1.0,1.0,0.0,0.0,0.0,52209,52209,0,0,0,0,33700,17698,419,17698,391,0,16850,0.3227,1.9042,20914.2789,29909.4574,0.0,64240.0,17385,17266,5.6989,34474,2,34475,1,0,0,2,2,2,0.9238,0.9238,63.6499,0.6438,38.0,64.0,754.7806,593.9152,2175.0,392,0.0075,1,0,0,17281,3.0212,262.2297,34474.0,184.737,14161.0708,1861596.0,34474,0,0,1,0.0
dos_udp_flood,run_4,dos_udp_flood.pcap,47257,10.20394,4631.2503,1986150,194645.4033,42.0287,0.6998,42.0,70.0,42.0,0.000216,0.002154,0.0,0.0625,1.9e-05,1.0,0.0016,0.9982,0.0002,0.0,47257,77,47170,10,0,0,38,39,0,39,0,0,38,0.4935,0.9744,505.3506,511.9568,0.0,1024.0,47179,41,0.0241,47170,0,0,0,0,0,2,2,2,0.0118,0.0118,63.9853,0.5105,38.0,64.0,0.0,0.0,0.0,0,0.0,0,0,0,42,1125.1667,7190.9962,47170.0,47289.2857,302016.8383,1981140.0,47170,0,0,0,0.0
mixed_attack,run_4,mixed_attack.pcap,52213,9.966351,5238.9286,2890378,290013.673,55.3574,1.894,54.0,58.0,54.0,0.000191,0.001323,-0.00017,0.05263,9e-06,1.0,1.0,0.0,0.0,0.0,52213,52213,0,0,0,0,34496,17717,0,17717,0,0,17792,0.3408,1.9471,20736.103,29838.8788,0.0,64240.0,17331,17143,5.8196,33481,5,33483,3,1,1,2,2,2,0.9242,0.9242,63.3541,2.3705,37.0,64.0,0.0,0.0,0.0,0,0.0,0,0,0,17718,2.9469,251.6277,33481.0,163.1323,13587.8946,1807978.0,33481,0,0,2,0.0001
normal,run_4,normal.pcap,76,9.745668,7.7983,4256,436.7069,56.0,2.0,54.0,58.0,56.0,0.129942,0.150105,0.003609,0.397183,0.007595,1.0,1.0,0.0,0.0,0.0,76,76,0,0,0,0,38,38,0,38,0,0,38,0.5,1.0,512.0,512.0,0.0,1024.0,40,40,4.0874,25,0,0,0,0,0,2,2,2,1.0,1.0,55.25,8.9076,37.0,63.0,0.0,0.0,0.0,0,0.0,0,0,0,40,1.9,4.1461,25.0,106.4,223.0638,1350.0,25,0,0,0,0.0
port_scan,run_4,port_scan.pcap,34763,9.970058,3486.7398,1946770,195261.6438,56.0012,2.0,54.0,58.0,58.0,0.000287,0.003931,-6.3e-05,0.386313,4.1e-05,1.0,1.0,0.0,0.0,0.0,34763,34763,0,0,0,0,17392,17371,0,17371,0,0,17392,0.5003,1.0012,512.3093,511.9999,0.0,1024.0,16968,16985,8.1147,16932,1,0,0,0,0,2,2,2,1.0,1.0,55.4698,8.8664,37.0,63.0,0.0,0.0,0.0,0,0.0,0,0,0,16989,2.0462,129.9217,16931.0,114.59,7015.7388,914274.0,16931,0,0,0,0.0
replay_attack,run_4,replay_attack.pcap,41,9.30851,4.4046,2262,243.0034,55.1707,1.82,54.0,58.0,54.0,0.232713,0.3346,0.001357,1.102982,0.068766,1.0,1.0,0.0,0.0,0.0,41,41,0,0,0,0,12,29,0,29,0,0,12,0.2927,0.4138,299.7073,465.914,0.0,1024.0,32,14,2.1775,27,1,0,0,0,0,2,2,2,0.8722,0.8722,58.9024,7.499,37.0,63.0,0.0,0.0,0.0,0,0.0,0,0,0,14,2.9286,6.6811,27.0,161.5714,359.8827,1458.0,27,0,0,1,0.0
rtsp_brute_force,run_4,rtsp_brute_force.pcap,36,9.620551,3.742,2104,218.6985,58.4444,5.3978,54.0,74.0,58.0,0.274873,0.373481,-2.3e-05,0.798757,0.004248,1.0,1.0,0.0,0.0,0.0,36,36,0,0,0,0,17,20,2,14,0,0,15,0.4167,0.85,5875.5556,17696.5911,0.0,65160.0,17,17,3.2707,13,0,0,6,0,0,2,2,2,0.9978,0.9978,55.5556,10.0732,37.0,64.0,0.0,0.0,0.0,0,0.0,0,0,0,17,2.1176,2.9879,13.0,123.7647,166.1663,702.0,13,0,0,0,0.1667
slowloris,run_4,slowloris.pcap,13837,10.17339,1360.117,774510,76130.9676,55.9738,1.9998,54.0,58.0,54.0,0.000735,0.016395,-0.000145,0.799217,4.3e-05,1.0,1.0,0.0,0.0,0.0,13837,13837,0,0,0,0,6828,7009,0,7009,0,0,6828,0.4935,0.9742,505.3026,511.9562,0.0,1024.0,7008,6825,7.3111,6973,0,0,0,0,0,2,2,2,0.9999,0.9999,55.641,8.7894,37.0,63.0,0.0,0.0,0.0,0,0.0,0,0,0,6825,2.0274,84.3871,6973.0,113.4813,4556.8559,376542.0,6973,0,0,0,0.0
brute_force_ssl,run_5,brute_force_ssl.pcap,56403,9.973169,5655.4742,3256596,326535.7251,57.738,36.8689,54.0,1386.0,58.0,0.000177,0.000485,-0.000104,0.026161,2.4e-05,1.0,1.0,0.0,0.0,0.0,56403,56403,0,0,0,0,28003,28434,68,27849,238,0,27969,0.4959,0.9848,592.8706,2285.0622,0.0,65160.0,27852,27946,8.435,27826,0,290,0,0,0,2,2,2,1.0,1.0,55.5779,8.8381,37.0,64.0,381.8571,410.028,1320.0,238,0.0042,1,0,0,27968,2.0167,166.3814,27825.0,116.4401,8988.6558,1502550.0,27825,0,0,0,0.0
dos_http_flood,run_5,dos_http_flood.pcap,1205,10.203008,118.1024,405658,39758.6656,336.6456,508.7,54.0,1386.0,66.0,0.008474,0.014559,-2.2e-05,0.05252,0.002424,1.0,1.0,0.0,0.0,0.0,1205,1205,0,0,0,0,13,1192,0,13,480,0,13,0.0108,0.0109,801.3842,267.8211,0.0,1024.0,243,315,5.9481,468,0,468,0,0,0,2,2,2,0.9705,0.9705,63.2266,1.7677,40.0,64.0,679.975,609.2199,1320.0,480,0.3983,1,0,0,315,3.8254,26.2176,468.0,1287.8032,3012.0691,53412.0,468,0,0,0,0.0
dos_syn_flood,run_5,dos_syn_flood.pcap,6934,10.217892,678.6136,490676,48021.2556,70.7638,117.5345,54.0,2241.0,54.0,0.001474,0.001291,-0.000246,0.005371,0.002111,1.0,1.0,0.0,0.0,0.0,6934,6934,0,0,0,0,3945,2484,252,2484,251,0,1979,0.2854,1.5882,18435.0053,28816.1227,0.0,64240.0,2232,2231,4.9263,4437,0,4437,0,0,0,2,2,2,0.9412,0.9412,63.6162,0.7904,37.0,64.0,404.2055,461.3224,2175.0,253,0.0365,1,0,0,2233,3.1052,93.8517,4437.0,219.7385,5071.7165,239598.0,4437,0,0,0,0.0
